,kod,ido,konverzio,koncentracio,mertekegyseg,oldoszer
252,667,8,49.32558568,20,%,PEG
253,668,8,47.34857964,30,%,PEG
254,669,8,1.05345263,10,%,dioxane
255,670,8,1.206806329,20,%,dioxane
256,671,8,1.276144819,30,%,dioxane
257,672,8,16.48678868,10,%,tert-butanol
258,673,8,2.370825594,20,%,tert-butanol
259,674,8,0.954944201,30,%,tert-butanol
262,675,2,48.47947077,37.3,%,HEPES
263,676,2,40.57475722,10,%,DMSO
264,677,2,21.78368506,20,%,DMSO
265,678,2,6.582820586,30,%,DMSO
266,679,2,48.44383466,2.5,mM,gamma-ciklodextrin
267,680,2,48.91494731,5,mM,gamma-ciklodextrin
268,681,2,48.97705184,10,mM,gamma-ciklodextrin
269,682,2,48.933346,2.5,mM,2-OH-propil-ciklodextrin
270,683,2,49.1612116,5,mM,2-OH-propil-ciklodextrin
271,684,2,49.33335557,10,mM,2-OH-propil-ciklodextrin
272,685,2,9.140001728,10,%,DMF
273,686,2,1.831271246,20,%,DMF
274,687,2,1.028266804,30,%,DMF
278,675,4,49.17108276,37.3,%,HEPES
279,676,4,42.85387082,10,%,DMSO
280,677,4,23.70336064,20,%,DMSO
281,678,4,6.893938585,30,%,DMSO
282,679,4,46.53847864,2.5,mM,gamma-ciklodextrin
283,680,4,49.55711805,5,mM,gamma-ciklodextrin
284,681,4,46.4916806,10,mM,gamma-ciklodextrin
285,682,4,49.53474913,2.5,mM,2-OH-propil-ciklodextrin
286,683,4,49.7005521,5,mM,2-OH-propil-ciklodextrin
287,684,4,49.75066367,10,mM,2-OH-propil-ciklodextrin
288,685,4,9.18320588,10,%,DMF
289,686,4,1.168607556,20,%,DMF
290,687,4,0.959909656,30,%,DMF
294,675,6,49.52021385,37.3,%,HEPES
295,676,6,43.81000336,10,%,DMSO
296,677,6,24.54621474,20,%,DMSO
297,678,6,7.136118043,30,%,DMSO
298,679,6,49.43797158,2.5,mM,gamma-ciklodextrin
299,680,6,49.67850146,5,mM,gamma-ciklodextrin
300,681,6,49.70745274,10,mM,gamma-ciklodextrin
301,682,6,49.67286279,2.5,mM,2-OH-propil-ciklodextrin
302,683,6,49.79441769,5,mM,2-OH-propil-ciklodextrin
303,684,6,49.83030631,10,mM,2-OH-propil-ciklodextrin
304,685,6,9.235515066,10,%,DMF
305,686,6,1.883662454,20,%,DMF
306,687,6,0.878495492,30,%,DMF
310,675,8,49.60563777,37.3,%,HEPES
311,676,8,44.27429446,10,%,DMSO
312,677,8,25.24149987,20,%,DMSO
313,678,8,7.26239788,30,%,DMSO
314,679,8,49.56290705,2.5,mM,gamma-ciklodextrin
315,680,8,49.78718969,5,mM,gamma-ciklodextrin
316,681,8,49.76129826,10,mM,gamma-ciklodextrin
317,682,8,49.74482385,2.5,mM,2-OH-propil-ciklodextrin
318,683,8,49.84390917,5,mM,2-OH-propil-ciklodextrin
319,684,8,49.6654568,10,mM,2-OH-propil-ciklodextrin
320,685,8,9.18139524,10,%,DMF
321,686,8,1.805872857,20,%,DMF
322,687,8,0.992925791,30,%,DMF
325,688,2,49.86273567,37.3,%,HEPES
326,689,2,49.14517245,10,%,DMSO
327,690,2,33.18218402,20,%,DMSO
328,691,2,8.863734306,30,%,DMSO
329,692,2,20.13426217,10,%,"1,5-pentanediol"
330,693,2,6.070363395,20,%,"1,5-pentanediol"
331,694,2,2.219286429,30,%,"1,5-pentanediol"
332,695,2,21.4925522,10,%,ethanol
333,696,2,3.803534554,20,%,ethanol
334,697,2,0.712565484,30,%,ethanol
335,698,2,1.150171177,10,%,trifluoroethanol
336,699,2,1.121567235,20,%,trifluoroethanol
337,700,2,1.47041115,30,%,trifluoroethanol
341,688,4,49.78453848,37.3,%,HEPES
342,689,4,49.44781234,10,%,DMSO
343,690,4,36.31821595,20,%,DMSO
344,691,4,9.16828905,30,%,DMSO
345,692,4,20.26575339,10,%,"1,5-pentanediol"
346,693,4,5.82448496,20,%,"1,5-pentanediol"
347,694,4,2.568792268,30,%,"1,5-pentanediol"
348,695,4,21.03666504,10,%,ethanol
349,696,4,3.490221454,20,%,ethanol
350,697,4,0.987957614,30,%,ethanol
351,698,4,1.043130193,10,%,trifluoroethanol
352,699,4,0.639785791,20,%,trifluoroethanol
353,700,4,0.670761227,30,%,trifluoroethanol
357,688,6,49.85840089,37.3,%,HEPES
358,689,6,49.64393835,10,%,DMSO
359,690,6,36.79980201,20,%,DMSO
360,691,6,9.391408307,30,%,DMSO
361,692,6,20.53733702,10,%,"1,5-pentanediol"
362,693,6,6.211653908,20,%,"1,5-pentanediol"
363,694,6,2.513505105,30,%,"1,5-pentanediol"
364,695,6,21.07125684,10,%,ethanol
365,696,6,3.519532573,20,%,ethanol
366,697,6,0.883802411,30,%,ethanol
367,698,6,1.181657752,10,%,trifluoroethanol
368,699,6,0.617131572,20,%,trifluoroethanol
369,700,6,0.818711803,30,%,trifluoroethanol
373,688,8,49.86712043,37.3,%,HEPES
374,689,8,49.55878383,10,%,DMSO
375,690,8,37.24100263,20,%,DMSO
376,691,8,10.10537572,30,%,DMSO
377,692,8,20.54737751,10,%,"1,5-pentanediol"
378,693,8,6.387375207,20,%,"1,5-pentanediol"
379,694,8,2.385119718,30,%,"1,5-pentanediol"
380,695,8,21.01790967,10,%,ethanol
381,696,8,3.643183053,20,%,ethanol
382,697,8,0.972416652,30,%,ethanol
383,698,8,0.993107175,10,%,trifluoroethanol
388,701,2,49.73747583,37.3,%,HEPES
389,702,2,39.88478281,10,%,DMSO
390,703,2,28.89202899,20,%,DMSO
391,704,2,7.890661082,30,%,DMSO
392,705,2,49.87913305,5,mM,glucose
393,706,2,49.8737619,10,mM,glucose
394,707,2,49.83187641,25,mM,glucose
395,708,2,49.93662496,5,mM,maltose
396,709,2,49.87440869,10,mM,maltose
397,710,2,49.84990947,25,mM,maltose
398,711,2,35.88162816,10,%,methanol
399,712,2,9.975587078,20,%,methanol
400,713,2,2.222120056,30,%,methanol
404,701,4,49.8940006,37.3,%,HEPES
405,702,4,41.45831345,10,%,DMSO
406,703,4,30.74895017,20,%,DMSO
407,704,4,8.243567629,30,%,DMSO
408,705,4,49.90177257,5,mM,glucose
409,706,4,49.94813256,10,mM,glucose
410,707,4,49.87648636,25,mM,glucose
411,708,4,49.90483906,5,mM,maltose
412,709,4,49.92136897,10,mM,maltose
413,710,4,49.87958876,25,mM,maltose
414,711,4,36.34042535,10,%,methanol
415,712,4,9.824395084,20,%,methanol
416,713,4,2.421875348,30,%,methanol
420,701,6,49.88747254,37.3,%,HEPES
421,702,6,41.99472229,10,%,DMSO
422,703,6,31.65956688,20,%,DMSO
423,704,6,8.244952707,30,%,DMSO
424,705,6,49.917351,5,mM,glucose
425,706,6,49.92066537,10,mM,glucose
426,707,6,49.85395032,25,mM,glucose
427,708,6,49.9293357,5,mM,maltose
428,709,6,49.92118327,10,mM,maltose
429,710,6,49.86942678,25,mM,maltose
430,711,6,36.59196107,10,%,methanol
431,712,6,9.761485852,20,%,methanol
432,713,6,2.55333947,30,%,methanol
436,701,8,49.85206478,37.3,%,HEPES
437,702,8,42.13999613,10,%,DMSO
438,703,8,31.94335509,20,%,DMSO
439,704,8,8.049136158,30,%,DMSO
440,705,8,49.88941926,5,mM,glucose
441,706,8,49.8961039,10,mM,glucose
442,707,8,49.81145579,25,mM,glucose
443,708,8,49.94326904,5,mM,maltose
444,709,8,49.91312663,10,mM,maltose
445,710,8,49.836466,25,mM,maltose
446,711,8,36.61564883,10,%,methanol
447,712,8,9.625371633,20,%,methanol
448,713,8,1.91638875,30,%,methanol
451,714,2,49.8233881,37.3,%,HEPES
452,715,2,48.29093952,10,%,DMSO
453,716,2,31.40205483,20,%,DMSO
454,717,2,7.489775764,30,%,DMSO
455,718,2,49.52577589,10,%,ethylene glycol
456,719,2,46.13881283,20,%,ethylene glycol
457,720,2,33.04527964,30,%,ethylene glycol
458,721,2,6.993742826,10,%,tert-amyl alcohol
459,722,2,1.891143911,20,%,tert-amyl alcohol
460,723,2,1.025399241,30,%,tert-amyl alcohol
461,724,2,49.86230978,5,mM,trehalose
462,725,2,49.89847344,10,mM,trehalose
463,726,2,49.88825023,25,mM,trehalose
467,714,4,49.79588699,37.3,%,HEPES
468,715,4,48.98404844,10,%,DMSO
469,716,4,33.56355226,20,%,DMSO
470,717,4,8.125440885,30,%,DMSO
471,718,4,49.71449831,10,%,ethylene glycol
472,719,4,46.66828014,20,%,ethylene glycol
473,720,4,33.26307159,30,%,ethylene glycol
474,721,4,7.677358422,10,%,tert-amyl alcohol
475,722,4,1.972388202,20,%,tert-amyl alcohol
476,723,4,1.013223275,30,%,tert-amyl alcohol
477,724,4,49.88083014,5,mM,trehalose
478,725,4,49.87093878,10,mM,trehalose
479,726,4,49.89517655,25,mM,trehalose
483,714,6,49.83063297,37.3,%,HEPES
484,715,6,49.04273353,10,%,DMSO
485,716,6,33.93572801,20,%,DMSO
486,717,6,8.255249459,30,%,DMSO
487,718,6,49.74389354,10,%,ethylene glycol
488,719,6,46.81799181,20,%,ethylene glycol
489,720,6,33.30428785,30,%,ethylene glycol
490,721,6,7.46547923,10,%,tert-amyl alcohol
491,722,6,1.526534093,20,%,tert-amyl alcohol
492,723,6,0.60983404,30,%,tert-amyl alcohol
498,727,2,50,37.3,%,HEPES
499,728,2,48.89987789,10,%,DMSO
500,729,2,30.96124585,20,%,DMSO
501,730,2,8.019324238,30,%,DMSO
502,731,2,50,25,mM,β-ciklodextrin
503,732,2,50,50,mM,β-ciklodextrin
504,733,2,50,25,mM,gamma-ciklodextrin
505,734,2,50,50,mM,gamma-ciklodextrin
506,735,2,50,25,mM,2-OH-propil-ciklodextrin
507,736,2,50,50,mM,2-OH-propil-ciklodextrin
508,737,2,50,50,mM,glucose
509,738,2,50,50,mM,maltose
510,739,2,50,50,mM,trehalose
511,740,2,29.12763808,5,mM,SLS
514,727,4,50,37.3,%,HEPES
515,728,4,49.64222948,10,%,DMSO
516,729,4,33.56661164,20,%,DMSO
517,730,4,8.305157249,30,%,DMSO
518,731,4,50,25,mM,β-ciklodextrin
519,732,4,50,50,mM,β-ciklodextrin
520,733,4,50,25,mM,gamma-ciklodextrin
521,734,4,50,50,mM,gamma-ciklodextrin
522,735,4,50,25,mM,2-OH-propil-ciklodextrin
523,736,4,50,50,mM,2-OH-propil-ciklodextrin
524,737,4,50,50,mM,glucose
525,738,4,50,50,mM,maltose
526,739,4,50,50,mM,trehalose
527,740,4,29.34070098,5,mM,SLS
530,727,6,50,37.3,%,HEPES
531,728,6,49.69628601,10,%,DMSO
532,729,6,33.84140256,20,%,DMSO
533,730,6,8.615916764,30,%,DMSO
534,731,6,50,25,mM,β-ciklodextrin
535,732,6,50,50,mM,β-ciklodextrin
536,733,6,50,25,mM,gamma-ciklodextrin
537,734,6,50,50,mM,gamma-ciklodextrin
538,735,6,50,25,mM,2-OH-propil-ciklodextrin
539,736,6,50,50,mM,2-OH-propil-ciklodextrin
540,737,6,50,50,mM,glucose
541,738,6,50,50,mM,maltose
542,739,6,50,50,mM,trehalose
543,740,6,29.1812818,5,mM,SLS
546,727,8,49.86989004,37.3,%,HEPES
547,728,8,49.67881606,10,%,DMSO
548,729,8,34.58635819,20,%,DMSO
549,730,8,8.441248236,30,%,DMSO
550,731,8,50,25,mM,β-ciklodextrin
551,732,8,50,50,mM,β-ciklodextrin
552,733,8,50,25,mM,gamma-ciklodextrin
553,734,8,50,50,mM,gamma-ciklodextrin
554,735,8,50,25,mM,2-OH-propil-ciklodextrin
555,736,8,50,50,mM,2-OH-propil-ciklodextrin
556,737,8,50,50,mM,glucose
557,738,8,50,50,mM,maltose
558,739,8,50,50,mM,trehalose
559,740,8,29.33104881,5,mM,SLS
562,741,0.25,36.57028765,37.3,%,HEPES
563,742,0.25,32.30381239,10,%,DMSO
564,743,0.25,18.08765269,20,%,DMSO
565,744,0.25,6.185224689,30,%,DMSO
566,745,0.25,39.22232602,10,%,glycerol
567,746,0.25,38.0834121,20,%,glycerol
568,747,0.25,36.39814582,30,%,glycerol
569,748,0.25,41.61027041,5,%,TWEEN 80
570,749,0.25,34.20123395,10,%,TWEEN 80
571,750,0.25,36.95890474,20,%,TWEEN 80
578,741,0.5,42.97367911,37.3,%,HEPES
579,742,0.5,39.46883258,10,%,DMSO
580,743,0.5,21.01080177,20,%,DMSO
581,744,0.5,6.648620609,30,%,DMSO
582,745,0.5,46.30856818,10,%,glycerol
583,746,0.5,45.91254978,20,%,glycerol
584,747,0.5,43.746821,30,%,glycerol
585,748,0.5,46.50169046,5,%,TWEEN 80
586,749,0.5,47.46513028,10,%,TWEEN 80
587,750,0.5,46.90145434,20,%,TWEEN 80
594,741,0.75,45.18832964,37.3,%,HEPES
595,742,0.75,41.11478426,10,%,DMSO
596,743,0.75,21.58239727,20,%,DMSO
597,744,0.75,6.77679964,30,%,DMSO
598,745,0.75,48.62577212,10,%,glycerol
599,746,0.75,46.53438534,20,%,glycerol
600,747,0.75,45.78729926,30,%,glycerol
601,748,0.75,45.64903695,5,%,TWEEN 80
602,749,0.75,49.52721823,10,%,TWEEN 80
603,750,0.75,49.13404066,20,%,TWEEN 80
610,741,1,46.38701336,37.3,%,HEPES
611,742,1,44.11655625,10,%,DMSO
612,743,1,23.67825491,20,%,DMSO
613,744,1,6.890707953,30,%,DMSO
614,745,1,49.15559818,10,%,glycerol
615,746,1,47.70763439,20,%,glycerol
616,747,1,46.24139662,30,%,glycerol
617,748,1,48.88885111,5,%,TWEEN 80
618,749,1,49.8550759,10,%,TWEEN 80
619,750,1,49.73496728,20,%,TWEEN 80
626,741,1.25,46.92467075,37.3,%,HEPES
627,742,1.25,44.59046609,10,%,DMSO
628,743,1.25,24.37048657,20,%,DMSO
629,744,1.25,6.537465858,30,%,DMSO
630,745,1.25,49.49373207,10,%,glycerol
631,746,1.25,48.34598372,20,%,glycerol
632,747,1.25,46.52230868,30,%,glycerol
633,748,1.25,48.29886987,5,%,TWEEN 80
634,749,1.25,49.80764143,10,%,TWEEN 80
