,kod,ido,konverzio,koncentracio,mertekegyseg,oldoszer
61,640,2,49.87770387,10,%,TWEEN 80
62,641,2,49.90482066,20,%,TWEEN 80
63,642,2,49.83313133,5,%,TWEEN 80
64,643,2,49.88680883,2.5,mM,β-ciklodextrin
65,644,2,49.90380643,5,mM,β-ciklodextrin
66,645,2,49.8127701,10,mM,β-ciklodextrin
67,646,2,6.923184946,25,mM,SLS
68,647,2,3.30768252,50,mM,SLS
69,648,2,25.6521687,10,mM,SLS
73,640,4,49.78918764,10,%,TWEEN 80
74,641,4,49.82655734,20,%,TWEEN 80
75,642,4,49.8877472,5,%,TWEEN 80
76,643,4,49.8510412,2.5,mM,β-ciklodextrin
77,644,4,49.90126897,5,mM,β-ciklodextrin
78,645,4,49.83326145,10,mM,β-ciklodextrin
79,646,4,11.11277556,25,mM,SLS
80,647,4,4.435674684,50,mM,SLS
81,648,4,25.57353604,10,mM,SLS
85,640,6,49.90174658,10,%,TWEEN 80
86,641,6,49.96032713,20,%,TWEEN 80
